"M.Departamentos","P.Produccion","P.Campos","P.Contratos","P.Operadoras"
"META",53.0900322721955,15.7754010695187,11.6129032258065,21.4285714285714
"CASANARE",15.816481325148,39.572192513369,38.0645161290323,64.2857142857143
"SANTANDER",6.90238898129784,6.14973262032086,7.74193548387097,14.2857142857143
"ARAUCA",6.58056588982694,5.61497326203209,3.2258064516129,4.76190476190476
"BOYACA",3.91704770930889,3.20855614973262,3.87096774193548,11.9047619047619
"Otro",14.104141784818,30.4812834224599,38.0645161290323,42.8571428571429
